,date,ticker,variable,value
79,2018-01-24,NFLX,open,250.88
80,2018-01-25,AAPL,open,171.1895
81,2018-01-25,AMZN,open,1368.0
82,2018-01-25,FB,open,187.95
83,2018-01-25,GOOG,open,1172.53
84,2018-01-25,NFLX,open,263.0
85,2018-01-26,AAPL,open,168.7321
86,2018-01-26,AMZN,open,1392.01
87,2018-01-26,FB,open,187.75
88,2018-01-26,GOOG,open,1175.08
89,2018-01-26,NFLX,open,271.485
90,2018-01-29,AAPL,open,166.9271
91,2018-01-29,AMZN,open,1409.18
92,2018-01-29,FB,open,188.75
93,2018-01-29,GOOG,open,1176.48
94,2018-01-29,NFLX,open,274.2
95,2018-01-30,AAPL,open,162.3802
96,2018-01-30,AMZN,open,1403.17
97,2018-01-30,FB,open,183.01
98,2018-01-30,GOOG,open,1167.83
99,2018-01-30,NFLX,open,277.0
100,2018-01-31,AAPL,open,163.6996
101,2018-01-31,AMZN,open,1451.3
102,2018-01-31,FB,open,188.37
103,2018-01-31,GOOG,open,1170.57
104,2018-01-31,NFLX,open,281.94
105,2018-02-01,AAPL,open,163.989
106,2018-02-01,AMZN,open,1445.0
107,2018-02-01,FB,open,188.22
108,2018-02-01,GOOG,open,1162.61
109,2018-02-01,NFLX,open,266.41
110,2018-02-02,AAPL,open,162.8461
111,2018-02-02,AMZN,open,1477.39
112,2018-02-02,FB,open,192.04
113,2018-02-02,GOOG,open,1122.0
114,2018-02-02,NFLX,open,263.0
115,2018-02-05,AAPL,open,156.0772
116,2018-02-05,AMZN,open,1402.62
117,2018-02-05,FB,open,186.93
118,2018-02-05,GOOG,open,1090.6
119,2018-02-05,NFLX,open,262.0
120,2018-02-06,AAPL,open,151.8884
121,2018-02-06,AMZN,open,1361.46
122,2018-02-06,FB,open,178.57
123,2018-02-06,GOOG,open,1027.18
124,2018-02-06,NFLX,open,247.7
125,2018-02-07,AAPL,open,159.9865
126,2018-02-07,AMZN,open,1449.0
127,2018-02-07,FB,open,184.15
128,2018-02-07,GOOG,open,1081.54
129,2018-02-07,NFLX,open,266.58
130,2018-02-08,AAPL,open,157.2446
131,2018-02-08,AMZN,open,1429.67
132,2018-02-08,FB,open,181.01
133,2018-02-08,GOOG,open,1055.41
134,2018-02-08,NFLX,open,267.08
135,2018-02-09,AAPL,open,154.7141
136,2018-02-09,AMZN,open,1373.49
137,2018-02-09,FB,open,174.76
138,2018-02-09,GOOG,open,1017.25
139,2018-02-09,NFLX,open,253.85
140,2018-02-12,AAPL,open,156.1226
141,2018-02-12,AMZN,open,1364.67
142,2018-02-12,FB,open,177.06
143,2018-02-12,GOOG,open,1048.0
144,2018-02-12,NFLX,open,252.14
145,2018-02-13,AAPL,open,159.5209
146,2018-02-13,AMZN,open,1385.93
147,2018-02-13,FB,open,175.62
148,2018-02-13,GOOG,open,1045.0
149,2018-02-13,NFLX,open,257.29
150,2018-02-14,AAPL,open,160.5995
151,2018-02-14,AMZN,open,1406.25
152,2018-02-14,FB,open,173.45
153,2018-02-14,GOOG,open,1048.95
154,2018-02-14,NFLX,open,260.47
155,2018-02-15,AAPL,open,167.2433
156,2018-02-15,AMZN,open,1466.89
157,2018-02-15,FB,open,180.5
158,2018-02-15,GOOG,open,1079.07
159,2018-02-15,NFLX,open,270.03
160,2018-02-16,AAPL,open,169.7748
161,2018-02-16,AMZN,open,1457.37
162,2018-02-16,FB,open,178.99
163,2018-02-16,GOOG,open,1088.41
164,2018-02-16,NFLX,open,278.73
165,2018-02-20,AAPL,open,169.4694
166,2018-02-20,AMZN,open,1446.49
167,2018-02-20,FB,open,175.77
168,2018-02-20,GOOG,open,1090.57
